BatchID,factor_B,factor_G,factor_R
batch-2025-04-02,0.9655263595302676,0.9581474251383355,0.9562761619345769
batch-2025-04-16,0.963027403172717,0.9563097122529919,0.9543878718588822
batch-2025-04-25,0.9648601064522206,0.9579080844496667,0.9556954938893534
batch-2025-06-04_1,0.962129036220835,0.9576562526134181,0.9538384723289479
batch-2025-06-04_2,0.962129036220835,0.9576562526134181,0.9538384723289479
batch-2025-06-11_1,0.9621892438253375,0.9582894601485206,0.9543008779902803
batch-2025-06-11_2,0.9621892438253375,0.9582894601485206,0.9543008779902803
batch-2025-07-30_1,0.9623382933795116,0.9588367707179332,0.9541251300080461
batch-2025-07-30_2,0.9623382933795116,0.9588367707179332,0.9541251300080461
batch-2025-12-03_1_bgl1050,1.7678474996766267,1.774619503283469,1.7555430112253751
batch-2025-12-03_1_bgl1100,0.9628951515139766,0.9598859127147386,0.9547869073121757
batch-2025-12-03_1_bgl1100_Baffle,1.0080331237198807,1.0076745966480536,1.003973373997975
batch-2025-12-03_1_bgl1120,0.812530593924976,0.8298769494021012,0.8527483620159197
batch-2025-12-03_2_bgl1050,1.7678474996766267,1.774619503283469,1.7555430112253751
batch-2025-12-03_2_bgl1100,0.9628951515139766,0.9598859127147386,0.9547869073121757
batch-2025-12-03_2_bgl1100_Baffle,1.0080331237198807,1.0076745966480536,1.003973373997975
batch-2025-12-03_2_bgl1120,0.812530593924976,0.8298769494021012,0.8527483620159197
batch-2025-12-04_3_bgl1050,1.7678474996766267,1.774619503283469,1.7555430112253751
batch-2025-12-04_3_bgl1100,0.9628951515139766,0.9598859127147386,0.9547869073121757
batch-2025-12-04_3_bgl1100_Baffle,1.0080331237198807,1.0076745966480536,1.003973373997975
batch-2025-12-04_3_bgl1120,0.812530593924976,0.8298769494021012,0.8527483620159197
batch-2025-12-04_4_bgl1050,1.7678474996766267,1.774619503283469,1.7555430112253751
batch-2025-12-04_4_bgl1100,0.9628951515139766,0.9598859127147386,0.9547869073121757
batch-2025-12-04_4_bgl1100_Baffle,1.0080331237198807,1.0076745966480536,1.003973373997975
batch-2025-12-04_4_bgl1120,0.812530593924976,0.8298769494021012,0.8527483620159197
